GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000008.1_4	UniRef100_K4NYW3~K21221	39.8	1865	974	37	8	1803	6	1791	0.0	1100
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000003.1_271	UniRef100_Q01ZX9~K00265	71.4	1498	413	3	5	1502	11	1492	0.0	2181
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1286	UniRef100_Q01VB1~K03043	82.7	1445	233	3	5	1448	4	1432	0.0	2383
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1287	UniRef100_Q01VB2~K03046	86.2	1406	186	2	3	1404	2	1403	0.0	2410
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000003.1_319	UniRef100_Q01U88~K03724	67.4	1325	394	10	9	1303	6	1322	0.0	1699
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_533	UniRef100_Q02B21~K09800	35.3	1400	797	23	5	1336	6	1364	7.56e-248	754
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000008.1_53	UniRef100_A0A0F7KQV7~K02230	59.7	1231	492	3	28	1258	28	1254	0.0	1515
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000002.1_178	UniRef100_Q01Y77~K03529	58.1	1228	483	7	1	1215	1	1209	0.0	1071
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_516	UniRef100_Q01VQ8~K00164	56.6	1227	493	7	10	1215	11	1219	0.0	1368
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1067	UniRef100_Q02D38~K02337	69.6	1151	344	5	5	1152	3	1150	0.0	1615
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1188	UniRef100_Q01PU0~K03723	63.5	1132	377	6	35	1135	12	1138	0.0	1388
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000011.1_26	UniRef100_D1C5W8~K16898	34.8	1156	627	38	8	1113	7	1085	1.04e-124	416
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1270	UniRef100_Q025D5~K01955	77.5	1067	237	3	1	1067	1	1064	0.0	1625
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_208	UniRef100_A5G432~K03296	60.9	1023	391	4	15	1036	1	1015	0.0	1172
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000003.1_138	UniRef100_A0A143PRN2~K07787	70.7	1034	303	0	1	1034	1	1034	0.0	1392
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_37	UniRef100_G2LIA4~K03296	50.7	1021	499	1	1	1017	1	1021	0.0	978
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_15	UniRef100_Q01VD9~K03296	67.3	1041	329	2	1	1038	1	1033	0.0	1305
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000012.1_7	UniRef100_Q01SJ1~K15726	70.5	1022	297	3	1	1022	1	1017	0.0	1374
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_209	UniRef100_A0LFE9~K03296	53.4	1044	464	6	1	1023	1	1042	0.0	1032
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_845	UniRef100_Q01QX2~K14162	63.0	1033	355	9	4	1032	5	1014	0.0	1261
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000011.1_20	UniRef100_F4L301~K07239	49.4	1028	506	4	1	1020	1	1022	7.27e-313	900
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000002.1_6	UniRef100_D3PM95~K01153	71.0	1037	282	2	7	1024	5	1041	0.0	1464
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000009.1_8	UniRef100_Q027B7~K01144	40.4	1054	546	27	13	1008	16	1045	7.72e-186	573
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1308	UniRef100_D5BWM3~K00184	48.6	994	464	21	16	988	23	990	4.45e-301	866
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000007.1_31	UniRef100_Q01SH6~K07277	57.6	902	377	3	74	974	98	995	0.0	1058
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000001.1_1078	UniRef100_A0A1B2ERK1~K00123	76.1	932	222	1	1	932	1	931	0.0	1452
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000008.1_93	UniRef100_E8YRU9~K06911	37.9	953	547	17	26	943	36	978	1.58e-189	578
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000005.1_138	UniRef100_Q01SK3~K03701	71.0	928	261	4	13	935	1	925	0.0	1307
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_294	UniRef100_Q028A2~K00525	75.3	945	225	3	1	938	1	944	0.0	1472
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000002.1_229	UniRef100_Q01Y13~K03070	69.6	960	256	5	3	926	1	960	0.0	1309
GCA_055850635.1_ASM5585063v1_genomicΩJBCUGQ010000004.1_69	UniRef100_Q01VL3~K01870	63.8	941	324	6	1	928	1	937	0.0	1263
